id	posx	posy	h	type	mass	dx	dy
124	-0.474747	0.083333	0.005000	1	0.025000	0.005000	0.005000
125	-0.479798	0.083333	0.005000	1	0.025000	0.005000	0.005000
126	-0.484848	0.083333	0.005000	1	0.025000	0.005000	0.005000
127	-0.489899	0.083333	0.005000	1	0.025000	0.005000	0.005000
128	-0.494949	0.083333	0.005000	1	0.025000	0.005000	0.005000
129	-0.333333	-0.088384	0.005000	1	0.025000	0.005000	0.005000
130	-0.333333	-0.093434	0.005000	1	0.025000	0.005000	0.005000
131	-0.333333	-0.098485	0.005000	1	0.025000	0.005000	0.005000
132	-0.333333	-0.103535	0.005000	1	0.025000	0.005000	0.005000
133	-0.333333	-0.108586	0.005000	1	0.025000	0.005000	0.005000
134	-0.333333	-0.113636	0.005000	1	0.025000	0.005000	0.005000
135	-0.333333	-0.118687	0.005000	1	0.025000	0.005000	0.005000
136	-0.333333	-0.123737	0.005000	1	0.025000	0.005000	0.005000
137	-0.333333	-0.128788	0.005000	1	0.025000	0.005000	0.005000
138	-0.333333	-0.133838	0.005000	1	0.025000	0.005000	0.005000
139	-0.333333	-0.138889	0.005000	1	0.025000	0.005000	0.005000
140	-0.333333	-0.143939	0.005000	1	0.025000	0.005000	0.005000
141	-0.333333	-0.148990	0.005000	1	0.025000	0.005000	0.005000
142	-0.333333	-0.154040	0.005000	1	0.025000	0.005000	0.005000
143	-0.333333	-0.159091	0.005000	1	0.025000	0.005000	0.005000
144	-0.333333	-0.164141	0.005000	1	0.025000	0.005000	0.005000
145	-0.333333	-0.169192	0.005000	1	0.025000	0.005000	0.005000
146	-0.333333	-0.174242	0.005000	1	0.025000	0.005000	0.005000
147	-0.333333	-0.179293	0.005000	1	0.025000	0.005000	0.005000
148	-0.333333	-0.184343	0.005000	1	0.025000	0.005000	0.005000
149	-0.333333	-0.189394	0.005000	1	0.025000	0.005000	0.005000
150	-0.333333	-0.194444	0.005000	1	0.025000	0.005000	0.005000
151	-0.333333	-0.199495	0.005000	1	0.025000	0.005000	0.005000
152	-0.333333	-0.204545	0.005000	1	0.025000	0.005000	0.005000
153	-0.333333	-0.209596	0.005000	1	0.025000	0.005000	0.005000
154	-0.333333	-0.214646	0.005000	1	0.025000	0.005000	0.005000
155	-0.333333	-0.219697	0.005000	1	0.025000	0.005000	0.005000
