id	posx	posy	h	type	mass	dx	dy
233	-0.282609	-0.030985	0.004348	1	0.018904	0.004348	0.004348
234	-0.282609	-0.035482	0.004348	1	0.018904	0.004348	0.004348
235	-0.282609	-0.039980	0.004348	1	0.018904	0.004348	0.004348
236	-0.282609	-0.044478	0.004348	1	0.018904	0.004348	0.004348
237	-0.282609	-0.048976	0.004348	1	0.018904	0.004348	0.004348
238	-0.282609	-0.053473	0.004348	1	0.018904	0.004348	0.004348
239	-0.282609	-0.057971	0.004348	1	0.018904	0.004348	0.004348
240	-0.287138	-0.057971	0.004348	1	0.018904	0.004348	0.004348
241	-0.291667	-0.057971	0.004348	1	0.018904	0.004348	0.004348
242	-0.296196	-0.057971	0.004348	1	0.018904	0.004348	0.004348
243	-0.300725	-0.057971	0.004348	1	0.018904	0.004348	0.004348
244	-0.305254	-0.057971	0.004348	1	0.018904	0.004348	0.004348
245	-0.309783	-0.057971	0.004348	1	0.018904	0.004348	0.004348
246	-0.314312	-0.057971	0.004348	1	0.018904	0.004348	0.004348
247	-0.318841	-0.057971	0.004348	1	0.018904	0.004348	0.004348
248	-0.323370	-0.057971	0.004348	1	0.018904	0.004348	0.004348
249	-0.327899	-0.057971	0.004348	1	0.018904	0.004348	0.004348
250	-0.332428	-0.057971	0.004348	1	0.018904	0.004348	0.004348
251	-0.336957	-0.057971	0.004348	1	0.018904	0.004348	0.004348
252	-0.341486	-0.057971	0.004348	1	0.018904	0.004348	0.004348
253	-0.346014	-0.057971	0.004348	1	0.018904	0.004348	0.004348
254	-0.350543	-0.057971	0.004348	1	0.018904	0.004348	0.004348
255	-0.355072	-0.057971	0.004348	1	0.018904	0.004348	0.004348
256	-0.490000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
257	-0.482000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
258	-0.474000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
259	-0.466000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
260	-0.458000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
261	-0.450000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
262	-0.442000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
263	-0.434000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
264	-0.426000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
265	-0.418000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
266	-0.410000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
267	-0.402000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
268	-0.394000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
269	-0.386000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
270	-0.378000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
271	-0.370000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
272	-0.362000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
273	-0.354000	-0.062000	0.008000	0	0.064000	0.008000	0.008000
274	-0.490000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
275	-0.482000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
276	-0.474000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
277	-0.466000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
278	-0.458000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
279	-0.450000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
280	-0.442000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
281	-0.434000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
282	-0.426000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
283	-0.418000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
284	-0.410000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
285	-0.402000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
286	-0.394000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
287	-0.386000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
288	-0.378000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
289	-0.370000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
290	-0.362000	-0.054000	0.008000	0	0.064000	0.008000	0.008000
291	-0.490000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
292	-0.482000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
293	-0.474000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
294	-0.466000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
295	-0.458000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
296	-0.450000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
297	-0.442000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
298	-0.434000	-0.046000	0.008000	0	0.064000	0.008000	0.008000
