id	posx	posy	h	type
58	-0.310606	-0.125000	0.010000	1
59	-0.303030	-0.125000	0.010000	1
60	-0.295455	-0.125000	0.010000	1
61	-0.287879	-0.125000	0.010000	1
62	-0.280303	-0.125000	0.010000	1
63	-0.272727	-0.125000	0.010000	1
64	-0.265152	-0.125000	0.010000	1
65	-0.257576	-0.125000	0.010000	1
66	-0.250000	-0.125000	0.010000	1
67	-0.250000	-0.094697	0.010000	1
68	-0.250000	-0.087121	0.010000	1
69	-0.250000	-0.079545	0.010000	1
70	-0.250000	-0.071970	0.010000	1
71	-0.250000	-0.064394	0.010000	1
72	-0.250000	-0.056818	0.010000	1
73	-0.250000	-0.049242	0.010000	1
74	-0.250000	-0.041667	0.010000	1
75	-0.250000	-0.034091	0.010000	1
76	-0.250000	-0.026515	0.010000	1
77	-0.250000	-0.018939	0.010000	1
78	-0.250000	-0.011364	0.010000	1
79	-0.250000	-0.003788	0.010000	1
80	-0.250000	0.003788	0.010000	1
81	-0.250000	0.011364	0.010000	1
82	-0.250000	0.018939	0.010000	1
83	-0.250000	0.026515	0.010000	1
84	-0.250000	0.034091	0.010000	1
85	-0.250000	0.041667	0.010000	1
86	-0.250000	0.049242	0.010000	1
87	-0.250000	0.056818	0.010000	1
88	-0.250000	0.064394	0.010000	1
89	-0.250000	0.071970	0.010000	1
90	-0.250000	0.079545	0.010000	1
91	-0.250000	0.087121	0.010000	1
92	-0.250000	0.094697	0.010000	1
93	-0.250000	0.102273	0.010000	1
94	-0.250000	0.109848	0.010000	1
95	-0.250000	0.117424	0.010000	1
96	-0.250000	0.125000	0.010000	1
97	-0.257576	0.125000	0.010000	1
98	-0.265152	0.125000	0.010000	1
99	-0.272727	0.125000	0.010000	1
100	-0.280303	0.125000	0.010000	1
101	-0.287879	0.125000	0.010000	1
102	-0.295455	0.125000	0.010000	1
103	-0.303030	0.125000	0.010000	1
104	-0.310606	0.125000	0.010000	1
105	-0.318182	0.125000	0.010000	1
106	-0.325758	0.125000	0.010000	1
107	-0.333333	0.125000	0.010000	1
108	-0.340909	0.125000	0.010000	1
109	-0.348485	0.125000	0.010000	1
110	-0.356061	0.125000	0.010000	1
111	-0.363636	0.125000	0.010000	1
112	-0.371212	0.125000	0.010000	1
113	-0.378788	0.125000	0.010000	1
114	-0.386364	0.125000	0.010000	1
115	-0.393939	0.125000	0.010000	1
116	-0.401515	0.125000	0.010000	1
117	-0.409091	0.125000	0.010000	1
118	-0.416667	0.125000	0.010000	1
119	-0.424242	0.125000	0.010000	1
120	-0.431818	0.125000	0.010000	1
121	-0.439394	0.125000	0.010000	1
122	-0.446970	0.125000	0.010000	1
123	-0.454545	0.125000	0.010000	1
124	-0.462121	0.125000	0.010000	1
125	-0.469697	0.125000	0.010000	1
126	-0.477273	0.125000	0.010000	1
127	-0.484848	0.125000	0.010000	1
128	-0.492424	0.125000	0.010000	1
129	-0.242424	-0.125000	0.010000	1
130	-0.234848	-0.125000	0.010000	1
131	-0.227273	-0.125000	0.010000	1
