posx	posy	h	type	mass	dx	dy
-0.434124	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.429732	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.425340	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.420949	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.416557	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.412165	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.407773	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.403382	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.398990	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.394598	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.390206	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.385815	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.381423	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.377031	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.372639	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.368248	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.363856	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.359464	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.072464	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.054897	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.050505	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.046113	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.041722	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.037330	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.032938	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.028546	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.024155	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.019763	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.015371	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.010979	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.006588	0.004348	1	0.018904	0.004348	0.004348
-0.355072	-0.002196	0.004348	1	0.018904	0.004348	0.004348
-0.355072	0.002196	0.004348	1	0.018904	0.004348	0.004348
-0.355072	0.006588	0.004348	1	0.018904	0.004348	0.004348
