posx	posy	h	type	mass	dx	dy
-0.354000	-0.022000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.014000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	-0.006000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	0.002000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.354000	0.010000	0.008000	0	0.064000	0.008000	0.008000
-0.490000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.482000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.474000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.466000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.458000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.450000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.442000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.434000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.426000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.418000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.410000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.402000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.394000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.386000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.378000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.370000	0.018000	0.008000	0	0.064000	0.008000	0.008000
-0.362000	0.018000	0.008000	0	0.064000	0.008000	0.008000
