id	posx	posy	h	type
256	-0.490000	-0.062000	0.010000	0
257	-0.482000	-0.062000	0.010000	0
258	-0.474000	-0.062000	0.010000	0
259	-0.466000	-0.062000	0.010000	0
260	-0.458000	-0.062000	0.010000	0
261	-0.450000	-0.062000	0.010000	0
262	-0.442000	-0.062000	0.010000	0
263	-0.434000	-0.062000	0.010000	0
264	-0.426000	-0.062000	0.010000	0
265	-0.418000	-0.062000	0.010000	0
266	-0.410000	-0.062000	0.010000	0
267	-0.402000	-0.062000	0.010000	0
268	-0.394000	-0.062000	0.010000	0
269	-0.386000	-0.062000	0.010000	0
270	-0.378000	-0.062000	0.010000	0
271	-0.370000	-0.062000	0.010000	0
272	-0.362000	-0.062000	0.010000	0
273	-0.354000	-0.062000	0.010000	0
274	-0.490000	-0.054000	0.010000	0
275	-0.482000	-0.054000	0.010000	0
276	-0.474000	-0.054000	0.010000	0
277	-0.466000	-0.054000	0.010000	0
278	-0.458000	-0.054000	0.010000	0
279	-0.450000	-0.054000	0.010000	0
280	-0.442000	-0.054000	0.010000	0
281	-0.434000	-0.054000	0.010000	0
282	-0.426000	-0.054000	0.010000	0
283	-0.418000	-0.054000	0.010000	0
284	-0.410000	-0.054000	0.010000	0
285	-0.402000	-0.054000	0.010000	0
286	-0.394000	-0.054000	0.010000	0
287	-0.386000	-0.054000	0.010000	0
288	-0.378000	-0.054000	0.010000	0
289	-0.370000	-0.054000	0.010000	0
290	-0.362000	-0.054000	0.010000	0
291	-0.490000	-0.046000	0.010000	0
292	-0.482000	-0.046000	0.010000	0
293	-0.474000	-0.046000	0.010000	0
294	-0.466000	-0.046000	0.010000	0
295	-0.458000	-0.046000	0.010000	0
296	-0.450000	-0.046000	0.010000	0
297	-0.442000	-0.046000	0.010000	0
298	-0.434000	-0.046000	0.010000	0
299	-0.426000	-0.046000	0.010000	0
300	-0.418000	-0.046000	0.010000	0
301	-0.410000	-0.046000	0.010000	0
302	-0.402000	-0.046000	0.010000	0
303	-0.394000	-0.046000	0.010000	0
304	-0.386000	-0.046000	0.010000	0
305	-0.378000	-0.046000	0.010000	0
306	-0.370000	-0.046000	0.010000	0
307	-0.362000	-0.046000	0.010000	0
308	-0.490000	-0.038000	0.010000	0
309	-0.482000	-0.038000	0.010000	0
310	-0.474000	-0.038000	0.010000	0
311	-0.466000	-0.038000	0.010000	0
312	-0.458000	-0.038000	0.010000	0
313	-0.450000	-0.038000	0.010000	0
314	-0.442000	-0.038000	0.010000	0
315	-0.434000	-0.038000	0.010000	0
316	-0.426000	-0.038000	0.010000	0
317	-0.418000	-0.038000	0.010000	0
318	-0.410000	-0.038000	0.010000	0
319	-0.402000	-0.038000	0.010000	0
320	-0.394000	-0.038000	0.010000	0
321	-0.386000	-0.038000	0.010000	0
322	-0.378000	-0.038000	0.010000	0
323	-0.370000	-0.038000	0.010000	0
324	-0.362000	-0.038000	0.010000	0
325	-0.490000	-0.030000	0.010000	0
326	-0.482000	-0.030000	0.010000	0
327	-0.474000	-0.030000	0.010000	0
328	-0.466000	-0.030000	0.010000	0
329	-0.458000	-0.030000	0.010000	0
330	-0.450000	-0.030000	0.010000	0
331	-0.442000	-0.030000	0.010000	0
332	-0.434000	-0.030000	0.010000	0
333	-0.426000	-0.030000	0.010000	0
334	-0.418000	-0.030000	0.010000	0
335	-0.410000	-0.030000	0.010000	0
336	-0.402000	-0.030000	0.010000	0
337	-0.394000	-0.030000	0.010000	0
338	-0.386000	-0.030000	0.010000	0
339	-0.378000	-0.030000	0.010000	0
