id	posx	posy	h	type	mass	dx	dy
133	-0.333333	-0.080808	0.002500	1	0.006250	0.002500	0.002500
134	-0.333333	-0.063131	0.002500	1	0.006250	0.002500	0.002500
135	-0.333333	-0.060606	0.002500	1	0.006250	0.002500	0.002500
136	-0.333333	-0.058081	0.002500	1	0.006250	0.002500	0.002500
137	-0.333333	-0.055556	0.002500	1	0.006250	0.002500	0.002500
138	-0.333333	-0.053030	0.002500	1	0.006250	0.002500	0.002500
139	-0.333333	-0.050505	0.002500	1	0.006250	0.002500	0.002500
140	-0.333333	-0.047980	0.002500	1	0.006250	0.002500	0.002500
141	-0.333333	-0.045455	0.002500	1	0.006250	0.002500	0.002500
142	-0.333333	-0.042929	0.002500	1	0.006250	0.002500	0.002500
143	-0.333333	-0.040404	0.002500	1	0.006250	0.002500	0.002500
144	-0.333333	-0.037879	0.002500	1	0.006250	0.002500	0.002500
145	-0.333333	-0.035354	0.002500	1	0.006250	0.002500	0.002500
146	-0.333333	-0.032828	0.002500	1	0.006250	0.002500	0.002500
147	-0.333333	-0.030303	0.002500	1	0.006250	0.002500	0.002500
148	-0.333333	-0.027778	0.002500	1	0.006250	0.002500	0.002500
149	-0.333333	-0.025253	0.002500	1	0.006250	0.002500	0.002500
150	-0.333333	-0.022727	0.002500	1	0.006250	0.002500	0.002500
151	-0.333333	-0.020202	0.002500	1	0.006250	0.002500	0.002500
152	-0.333333	-0.017677	0.002500	1	0.006250	0.002500	0.002500
153	-0.333333	-0.015152	0.002500	1	0.006250	0.002500	0.002500
154	-0.333333	-0.012626	0.002500	1	0.006250	0.002500	0.002500
155	-0.333333	-0.010101	0.002500	1	0.006250	0.002500	0.002500
156	-0.333333	-0.007576	0.002500	1	0.006250	0.002500	0.002500
157	-0.333333	-0.005051	0.002500	1	0.006250	0.002500	0.002500
158	-0.333333	-0.002525	0.002500	1	0.006250	0.002500	0.002500
159	-0.333333	0.000000	0.002500	1	0.006250	0.002500	0.002500
160	-0.333333	0.002525	0.002500	1	0.006250	0.002500	0.002500
161	-0.333333	0.005051	0.002500	1	0.006250	0.002500	0.002500
162	-0.333333	0.007576	0.002500	1	0.006250	0.002500	0.002500
163	-0.333333	0.010101	0.002500	1	0.006250	0.002500	0.002500
164	-0.333333	0.012626	0.002500	1	0.006250	0.002500	0.002500
165	-0.333333	0.015152	0.002500	1	0.006250	0.002500	0.002500
166	-0.333333	0.017677	0.002500	1	0.006250	0.002500	0.002500
167	-0.333333	0.020202	0.002500	1	0.006250	0.002500	0.002500
168	-0.333333	0.022727	0.002500	1	0.006250	0.002500	0.002500
169	-0.333333	0.025253	0.002500	1	0.006250	0.002500	0.002500
170	-0.333333	0.027778	0.002500	1	0.006250	0.002500	0.002500
171	-0.333333	0.030303	0.002500	1	0.006250	0.002500	0.002500
172	-0.333333	0.032828	0.002500	1	0.006250	0.002500	0.002500
173	-0.333333	0.035354	0.002500	1	0.006250	0.002500	0.002500
174	-0.333333	0.037879	0.002500	1	0.006250	0.002500	0.002500
175	-0.333333	0.040404	0.002500	1	0.006250	0.002500	0.002500
176	-0.333333	0.042929	0.002500	1	0.006250	0.002500	0.002500
177	-0.333333	0.045455	0.002500	1	0.006250	0.002500	0.002500
178	-0.333333	0.047980	0.002500	1	0.006250	0.002500	0.002500
179	-0.333333	0.050505	0.002500	1	0.006250	0.002500	0.002500
180	-0.333333	0.053030	0.002500	1	0.006250	0.002500	0.002500
181	-0.333333	0.055556	0.002500	1	0.006250	0.002500	0.002500
182	-0.333333	0.058081	0.002500	1	0.006250	0.002500	0.002500
183	-0.333333	0.060606	0.002500	1	0.006250	0.002500	0.002500
184	-0.333333	0.063131	0.002500	1	0.006250	0.002500	0.002500
185	-0.333333	0.065657	0.002500	1	0.006250	0.002500	0.002500
186	-0.333333	0.068182	0.002500	1	0.006250	0.002500	0.002500
187	-0.333333	0.070707	0.002500	1	0.006250	0.002500	0.002500
188	-0.333333	0.073232	0.002500	1	0.006250	0.002500	0.002500
189	-0.333333	0.075758	0.002500	1	0.006250	0.002500	0.002500
190	-0.333333	0.078283	0.002500	1	0.006250	0.002500	0.002500
191	-0.333333	0.080808	0.002500	1	0.006250	0.002500	0.002500
192	-0.333333	0.083333	0.002500	1	0.006250	0.002500	0.002500
193	-0.335859	0.083333	0.002500	1	0.006250	0.002500	0.002500
194	-0.338384	0.083333	0.002500	1	0.006250	0.002500	0.002500
195	-0.340909	0.083333	0.002500	1	0.006250	0.002500	0.002500
196	-0.343434	0.083333	0.002500	1	0.006250	0.002500	0.002500
197	-0.345960	0.083333	0.002500	1	0.006250	0.002500	0.002500
198	-0.348485	0.083333	0.002500	1	0.006250	0.002500	0.002500
199	-0.351010	0.083333	0.002500	1	0.006250	0.002500	0.002500
200	-0.353535	0.083333	0.002500	1	0.006250	0.002500	0.002500
201	-0.356061	0.083333	0.002500	1	0.006250	0.002500	0.002500
